time,text,user_id
2014-01-01 05:01:43,"['rt', 'AT_USER', 'happy', '2014', 'ea', '$', 't', 'coast', '.']",1626872184
2014-01-01 06:02:44,"['happy', 'new', 'years', 'to', 'my', 'n', '$', 't', 'squad', 'AT_USER', 'AT_USER', 'AT_USER']",1952617718
2014-01-01 12:27:05,"['retweet', 'eff', ""you've"", 'never', 'had', 'ur', 'fir', '$', 't', 'ki', '$', '$', '<3', '3333']",327942154
2014-01-01 15:51:01,"['$', 't', '-', 'is', 'vodafone', 'a', 'solid', 'investment', '?', '->', 'URL', 'stock', 'stocks', 'stockaction']",300706809
2014-01-02 00:08:20,"['rt', 'AT_USER', 'eu', 'na', 'mihna', 'quebrada', 'capao', 'redondo', 'sp', 'zona', 'lo', '$', 't', 'URL']",247037221
2014-01-02 00:58:43,"['rt', 'AT_USER', 'eu', 'na', 'mihna', 'quebrada', 'capao', 'redondo', 'sp', 'zona', 'lo', '$', 't', 'URL']",283734527
2014-01-02 03:06:04,"['rt', 'AT_USER', 'eu', 'na', 'mihna', 'quebrada', 'capao', 'redondo', 'sp', 'zona', 'lo', '$', 't', 'URL']",180498618
2014-01-02 06:40:27,"['!', '""', 'pak_v', '$', '_', '$', 'l', '""', '!', '!', '!', '""', '1', '$', 't', 'te', '$', 't', '""', '""', '!', '!', '""', '""', 'pak', '_346', '/', '6', '""', '!', '!', '""', 'over', '$', '_117', '""', '!', '!', '""', 'misbah', '_117', '""', '!', '!', '""', 'b', 'bhatti', '-', '0', '""', '!', '!', '""', 'lead', 'by', '142', '""', '!', '!', '""', '$', 'hahbaz', '""', '!', '!', '""', 'hu', '$', '$', 'ain', '""', '!']",1262271684
2014-01-02 13:23:40,"['isabel', 'is', 'short', 'on', '$', 't', 'at', 'dowjones', '.', 'our', 'profit', '5.64', '%', '.', 'target', 'price', '$', '28.44', '.', 'more', 'info', 'on', 'URL', 'stocks']",420995775
2014-01-02 17:15:09,"['testing_testing', 'muzikkzone', 'hotte', '$', 't', 'promo', 'team', 'on', 'twitter', 'f', '>', '>', 'AT_USER', 'AT_USER', 'AT_USER', 'AT_USER', 'AT_USER', 'zoneup']",336891252
